p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
3.63160532058253e-164	0.975177540857057	0.423	0.088	6.76858599650172e-160	0	Scn7a
4.52661895969888e-164	0.833880509132191	0.404	0.081	8.43671241708678e-160	0	Oaf
1.5379813491528e-163	0.796685034009167	0.713	0.295	2.86648963855098e-159	0	Mapre1
9.39748692344222e-163	0.899704007226197	0.436	0.106	1.75150361279116e-158	0	Tril
5.52035228764743e-162	0.79784956317433	0.354	0.06	1.02888325937173e-157	0	Dipk1c
6.21943085622344e-162	0.760968911043104	0.45	0.103	1.15917752298293e-157	0	Igfbp4
6.43247767474961e-162	0.805893810350295	0.393	0.081	1.19888518901983e-157	0	Rhpn2
6.6227449468088e-162	0.80813420580711	0.495	0.13	1.23434720318622e-157	0	Vat1l
1.09319955555001e-161	0.76234475961563	0.677	0.265	2.03750533163411e-157	0	Cyb5a
1.89516261545672e-161	0.822266643056681	0.731	0.321	3.53220408268824e-157	0	Lrpap1
2.04910648597279e-161	0.798333943075158	0.339	0.051	3.81912466855608e-157	0	Cpxm1
2.42359073580276e-161	0.791187366291075	0.392	0.076	4.51708841338918e-157	0	Nr2e1
8.9057073594477e-161	0.86570143371513	0.732	0.325	1.65984573765386e-156	0	Cdkn1b
2.16434505543075e-160	0.86149575982877	0.511	0.144	4.03390631431183e-156	0	Nectin3
2.25787490768699e-159	0.810476840510168	0.411	0.087	4.20822725294702e-155	0	Flrt2
1.05747463868817e-158	0.756713645389294	0.714	0.301	1.970921231587e-154	0	Zfp467
1.15223368896902e-158	0.874937767564655	0.47	0.121	2.14753314950047e-154	0	B4galt6
1.45622860217805e-158	0.789480704751816	0.574	0.186	2.71411886873945e-154	0	Nin
3.4425287129207e-158	0.809632220790173	0.581	0.192	6.41618501514161e-154	0	Srgap3
4.69380726262133e-158	0.848332398301327	0.533	0.162	8.74831797607364e-154	0	Pdlim5
5.57489124857893e-157	0.767225517059806	0.741	0.332	1.03904823091014e-152	0	Reep5
8.49173953457622e-157	0.632940209811369	0.774	0.364	1.58269041445432e-152	0	Gnb2
1.7094945768151e-156	0.830385909295124	0.412	0.088	3.18615599226798e-152	0	Unc5c
4.40725792074683e-156	0.982485777923224	0.368	0.069	8.21424731268794e-152	0	Dio2
7.62295834867775e-156	0.67446703510599	0.971	0.718	1.42076697702656e-151	0	Hint1
8.48719780336161e-156	0.822356039486691	0.42	0.092	1.58184392659054e-151	0	Igf2
1.99022257552282e-155	0.888986617730881	0.416	0.09	3.70937683625943e-151	0	4930578M01Rik
3.08296130002916e-155	0.76073999401191	0.794	0.39	5.74602327099435e-151	0	Sesn3
3.49213360207713e-155	0.827567429066254	0.497	0.142	6.50863860755135e-151	0	Adk
7.06004709632074e-155	0.635229424612886	0.856	0.46	1.31585157781226e-150	0	Tspan7
1.31716887645237e-154	0.768364044831721	0.68	0.276	2.45493935193192e-150	0	B230118H07Rik
3.61812967531306e-154	0.829393969717253	0.445	0.106	6.74347008884849e-150	0	D630033O11Rik
7.68508253625438e-154	1.14023797959323	0.462	0.117	1.43234568310709e-149	0	Aldh1a1
9.88418451684379e-154	0.846556152876642	0.497	0.14	1.84221431024935e-149	0	Abat
1.19371109083729e-153	0.701290280902395	0.644	0.245	2.22483873110255e-149	0	Fuca1
1.7144496926051e-153	0.895513857957296	0.681	0.285	3.19539133707739e-149	0	Far1
2.77311934647749e-153	0.791996788908716	0.396	0.086	5.16853983796475e-149	0	Cnp
2.94077922422857e-153	0.784376136554576	0.37	0.077	5.48102431811721e-149	0	Mob3b
1.97930924464451e-152	0.684568198219539	0.767	0.361	3.68903657016844e-148	0	Slc3a2
1.04422797825933e-151	0.82085944557378	0.365	0.069	1.94623210587974e-147	0	Agt
2.55709407752939e-151	0.75243126714663	0.468	0.122	4.76591194169928e-147	0	Tmem176a
2.62854553260587e-151	0.828118424861691	0.748	0.352	4.89908316367081e-147	0	Arf4
8.12689077576408e-151	0.758799308608778	0.752	0.348	1.51468990278691e-146	0	Elmod1
1.41110499054026e-150	0.784587036370887	0.615	0.229	2.63001748136894e-146	0	Aamdc
2.01752453571385e-150	0.875132877237089	0.575	0.199	3.76026222966348e-146	0	Magi3
4.82730829394336e-150	0.793524842796726	0.501	0.146	8.99713719825163e-146	0	Apip
1.29998192397443e-149	0.725122566824303	0.768	0.368	2.42290630990354e-145	0	Pdcd4
5.55315673115239e-148	0.690141335105994	0.397	0.084	1.03499735155218e-143	0	Col18a1
